PANEL,NAME,AREA_M2,X_MIN,X_MAX,BOUNDED_BY,BOUNDARY_DONOR_DEPENDENT,TRAVEL_MM,TRIM_MM,VERDICT
P01,FRONT_FASCIA,1.0542,-950,-655,,no,0,15.0,boundary INDEPENDENT of every approx donor value
P02,HOOD,0.8553,-654,385,,no,0,15.0,boundary INDEPENDENT of every approx donor value
P03,FRONT_FENDER_L,2.2468,-655,440,door_front_x,yes,15-30,15.0,boundary travels with the estimate: 15-30 mm vs 15 mm trim
P07,ROCKER_L,0.9453,312,2044,,no,0,15.0,boundary INDEPENDENT of every approx donor value
P09,DOOR_SKIN_L,1.758,470,1618,door_front_x;door_rear_x,yes,15-30,15.0,boundary travels with the estimate: 15-30 mm vs 15 mm trim
P11,SIDE_INTAKE_L,0.52,1790,2297,,no,0,15.0,boundary INDEPENDENT of every approx donor value
P15,REAR_HAUNCH_L,1.3809,1651,2998,door_rear_x,yes,15-30,15.0,boundary travels with the estimate: 15-30 mm vs 15 mm trim
P17,BUTTRESS_L,0.3019,1789,1990,,no,0,15.0,boundary INDEPENDENT of every approx donor value
P19,REAR_DECK_L,0.4021,2035,2972,,no,0,15.0,boundary INDEPENDENT of every approx donor value
P20,ENGINE_COVER,1.1452,2035,2998,,no,0,15.0,boundary INDEPENDENT of every approx donor value
P21,REAR_FASCIA,1.3696,3000,3420,,no,0,15.0,boundary INDEPENDENT of every approx donor value
P22,DIFFUSER,0.4714,3006,3420,,no,0,15.0,boundary INDEPENDENT of every approx donor value
P28,FRONT_SPLITTER_L,0.3666,-950,-658,,no,0,15.0,boundary INDEPENDENT of every approx donor value
P39,ROCKER_END_L,0.1672,2762,2995,,no,0,15.0,boundary INDEPENDENT of every approx donor value
