PART,NAME,SIDE,STEP,INSTALL_VECTOR,MASS_KG,CORE_VOLUME_CM3,CENTROID_SPECX,CENTROID_Y,CENTROID_Z
P01,FRONT_FASCIA,-,3,+X,3.512,2832.1,-816.5,-59.7,479.0
P28,FRONT_SPLITTER_L,L,4,+Z,0.703,566.9,-863.0,414.5,210.6
P41,FRONT_SPLITTER_R,R,4,+Z,0.703,566.7,-863.0,-414.4,210.6
P02,HOOD,-,5,-Z,3.203,2583.2,-128.0,0.0,831.8
P03,FRONT_FENDER_L,L,5,-Y,4.071,3282.7,-172.0,708.6,663.4
P04,FRONT_FENDER_R,R,5,+Y,4.07,3282.7,-172.0,-708.6,663.4
P05,FENDER_CHANNEL_L,L,6,-Y,0.216,174.0,-20.0,465.0,767.0
P06,FENDER_CHANNEL_R,R,6,+Y,0.216,173.9,-20.0,-465.0,767.0
P29,HEADLIGHT_SURROUND_L,L,7,+X,0.124,99.8,-662.0,545.0,565.0
P30,HEADLIGHT_SURROUND_R,R,7,+X,0.124,99.8,-662.0,-545.0,565.0
P07,ROCKER_L,L,8,-Y,1.785,1439.5,1216.4,745.5,224.4
P08,ROCKER_R,R,8,+Y,1.785,1439.5,1216.4,-745.5,224.4
P39,ROCKER_END_L,L,8,-Y,0.311,251.0,2885.5,723.8,237.8
P40,ROCKER_END_R,R,8,+Y,0.311,251.0,2885.4,-723.8,237.8
P09,DOOR_SKIN_L,L,9,-Y,3.214,2591.8,1033.2,803.7,609.6
P10,DOOR_SKIN_R,R,9,+Y,3.214,2592.2,1033.2,-803.7,609.5
P11,SIDE_INTAKE_L,L,11,-Y,0.946,763.2,1995.3,730.3,565.7
P12,SIDE_INTAKE_R,R,11,+Y,0.947,763.8,1995.0,-730.2,565.6
P31,INTAKE_DUCT_L,L,12,-Y,1.614,1301.4,2161.4,603.5,542.0
P32,INTAKE_DUCT_R,R,12,+Y,1.614,1301.5,2161.4,-603.5,542.0
P13,INTAKE_BLADE_L,L,13,-Y,0.232,187.4,2061.5,868.1,574.4
P14,INTAKE_BLADE_R,R,13,+Y,0.232,187.4,2061.5,-868.1,574.5
P15,REAR_HAUNCH_L,L,14,-Y,2.548,2054.9,2347.7,810.3,720.2
P16,REAR_HAUNCH_R,R,14,+Y,2.548,2055.0,2347.6,-810.2,720.2
P17,BUTTRESS_L,L,15,-Z,0.559,451.1,1895.6,357.8,926.3
P18,BUTTRESS_R,R,15,-Z,0.559,451.0,1895.7,-357.8,926.3
P19,REAR_DECK_L,L,16,-Z,0.832,670.7,2455.5,665.8,962.1
P42,REAR_DECK_R,R,16,-Z,0.831,670.1,2455.9,-665.9,962.3
P20,ENGINE_COVER,-,17,-Z,4.256,3432.4,2504.0,0.0,971.2
P21,REAR_FASCIA,-,19,-X,5.052,4074.2,3189.3,0.1,605.9
P34,REAR_CENTRE_MASK,-,20,-X,0.268,215.8,3361.6,0.0,494.9
P36,PLATE_RECESS,-,21,-X,0.165,133.2,3374.0,0.0,309.7
P22,DIFFUSER,-,22,-X,1.634,1317.9,3267.2,0.1,233.0
P35,EXHAUST_SURROUND,-,23,-X,0.129,103.8,3334.2,-0.3,432.0
P24,HEADLIGHT_HOUSING_L,L,25,+X,0.356,287.5,-587.1,560.0,570.0
P25,HEADLIGHT_HOUSING_R,R,25,+X,0.357,287.5,-587.1,-560.0,570.0
P26,TAIL_HOUSING_L,L,26,-X,0.758,611.2,3181.7,419.3,612.0
P27,TAIL_HOUSING_R,R,26,-X,0.764,616.4,3181.5,-421.2,612.0
