tier,file,area_cm2,over45,over60,worst,support_cm3,gap_max_mm,flip_over45,flip_over60,flip_worst,flip_support_cm3,flip_gap_max_mm,better_flipped
ready to bond,P01_FRONT_FASCIA_s01.stl,3323.145,0.246,0.236,89.303,10858.129,178.384,0.246,0.236,89.303,7696.877,236.023,yes
ready to bond,P01_FRONT_FASCIA_s01b.stl,21.391,0.399,0.393,84.041,1.851,3.883,0.4,0.394,90.0,4.033,6.982,
ready to bond,P01_FRONT_FASCIA_s01c.stl,8.479,0.367,0.0,50.44,0.0,0.0,0.367,0.0,50.44,0.0,0.0,
ready to bond,P01_FRONT_FASCIA_s01d.stl,15.699,0.263,0.0,48.047,0.0,0.0,0.263,0.0,48.047,0.0,0.0,
ready to bond,P01_FRONT_FASCIA_s01e.stl,13.514,0.0,0.0,44.779,0.0,0.0,0.0,0.0,44.779,0.0,0.0,
ready to bond,P01_FRONT_FASCIA_s02.stl,1821.297,0.144,0.086,90.0,1071.835,156.739,0.144,0.086,90.0,1476.771,161.473,
ready to bond,P01_FRONT_FASCIA_s03.stl,204.095,0.461,0.35,90.0,60.975,19.764,0.461,0.35,90.0,129.042,20.989,
ready to bond,P01_FRONT_FASCIA_s04.stl,2196.135,0.216,0.17,89.993,7507.125,205.559,0.216,0.17,89.993,192.844,205.666,yes
ready to bond,P01_FRONT_FASCIA_s05.stl,2569.548,0.315,0.18,90.0,5197.198,173.767,0.315,0.18,90.0,4090.283,199.558,yes
ready to bond,P01_FRONT_FASCIA_s06.stl,1052.051,0.087,0.087,78.756,18.886,2.71,0.488,0.488,90.0,340.038,7.0,
ready to bond,P01_FRONT_FASCIA_s07.stl,2315.703,0.355,0.185,83.967,5389.365,202.394,0.359,0.189,90.0,4150.997,218.48,yes
ready to bond,P01_FRONT_FASCIA_s08.stl,1050.773,0.486,0.486,90.0,185.829,4.0,0.486,0.486,90.0,171.435,6.825,
ready to bond,P01_FRONT_FASCIA_s09.stl,2340.999,0.354,0.189,84.032,5441.627,202.566,0.357,0.193,90.0,4423.926,218.48,
ready to bond,P01_FRONT_FASCIA_s10.stl,1241.807,0.381,0.271,90.0,2818.123,85.587,0.381,0.271,90.0,140.584,55.877,yes
ready to bond,P01_FRONT_FASCIA_s11.stl,2611.537,0.316,0.18,90.0,5355.506,175.662,0.316,0.18,90.0,4086.042,199.558,yes
ready to bond,P01_FRONT_FASCIA_s12.stl,1595.753,0.008,0.005,83.481,24.87,169.667,0.008,0.005,83.481,166.339,238.242,
ready to bond,P01_FRONT_FASCIA_s12b.stl,15.701,0.228,0.0,50.397,0.0,0.0,0.228,0.0,50.397,0.0,0.0,
ready to bond,P01_FRONT_FASCIA_s12c.stl,13.526,0.21,0.0,46.495,0.0,0.0,0.21,0.0,46.495,0.0,0.0,
ready to bond,P01_FRONT_FASCIA_s13.stl,1641.817,0.134,0.084,89.803,896.912,140.631,0.134,0.084,89.803,1342.701,161.48,
ready to bond,P01_FRONT_FASCIA_s14.stl,174.926,0.218,0.146,87.586,18.364,16.256,0.436,0.364,90.0,114.043,20.808,
