PANEL,NAME,SECTION,X_MM,Y_MM,Z_MM,FITS_BED,PIECES_IN_FILE,CLASS_A_UP,PLACE_RX,PLACE_RY,PLACE_RZ,PLACE_X_MM,PLACE_Y_MM,PLACE_Z_MM,WHAT_IS_MISSING,FILE
P01,FRONT_FASCIA,s01,297.9,287.3,236.2,yes,1,yes,-180.0,-0.0,-0.0,0.0,-0.0,479.8,,03_PRINT/production/P01_FRONT_FASCIA_s01.stl
P01,FRONT_FASCIA,s01b,52.2,29.2,7.0,yes,1,yes,180.0,-90.0,0.0,651.0,-0.0,-0.0,,03_PRINT/production/P01_FRONT_FASCIA_s01b.stl
P01,FRONT_FASCIA,s01c,24.3,19.7,18.9,yes,1,yes,180.0,-90.0,0.0,928.6,-0.0,-0.0,,03_PRINT/production/P01_FRONT_FASCIA_s01c.stl
P01,FRONT_FASCIA,s01d,28.5,53.0,13.1,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,464.3,,03_PRINT/production/P01_FRONT_FASCIA_s01d.stl
P01,FRONT_FASCIA,s01e,28.9,33.5,18.7,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,459.0,,03_PRINT/production/P01_FRONT_FASCIA_s01e.stl
P01,FRONT_FASCIA,s02,234.4,275.9,163.3,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,456.9,,03_PRINT/production/P01_FRONT_FASCIA_s02.stl
P01,FRONT_FASCIA,s03,40.9,162.2,26.6,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,619.2,,03_PRINT/production/P01_FRONT_FASCIA_s03.stl
P01,FRONT_FASCIA,s04,207.1,283.2,206.8,yes,1,yes,180.0,-90.0,0.0,743.7,-0.0,-0.0,,03_PRINT/production/P01_FRONT_FASCIA_s04.stl
P01,FRONT_FASCIA,s05,300.0,283.7,200.3,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,457.1,,03_PRINT/production/P01_FRONT_FASCIA_s05.stl
P01,FRONT_FASCIA,s06,180.4,283.8,7.0,yes,1,yes,0.0,-90.0,0.0,953.0,0.0,0.0,,03_PRINT/production/P01_FRONT_FASCIA_s06.stl
P01,FRONT_FASCIA,s07,298.6,284.2,218.5,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,459.8,,03_PRINT/production/P01_FRONT_FASCIA_s07.stl
P01,FRONT_FASCIA,s08,180.4,283.8,7.0,yes,1,yes,180.0,-90.0,0.0,946.0,-0.0,-0.0,,03_PRINT/production/P01_FRONT_FASCIA_s08.stl
P01,FRONT_FASCIA,s09,299.4,286.0,218.5,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,459.8,,03_PRINT/production/P01_FRONT_FASCIA_s09.stl
P01,FRONT_FASCIA,s10,207.1,282.1,88.1,yes,1,yes,180.0,-90.0,0.0,861.9,-0.0,-0.0,,03_PRINT/production/P01_FRONT_FASCIA_s10.stl
P01,FRONT_FASCIA,s11,298.9,284.8,201.4,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,456.0,,03_PRINT/production/P01_FRONT_FASCIA_s11.stl
P01,FRONT_FASCIA,s12,283.6,265.0,238.4,yes,1,yes,-180.0,-0.0,-0.0,0.0,-0.0,479.8,,03_PRINT/production/P01_FRONT_FASCIA_s12.stl
P01,FRONT_FASCIA,s12b,28.5,53.0,13.0,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,464.4,,03_PRINT/production/P01_FRONT_FASCIA_s12b.stl
P01,FRONT_FASCIA,s12c,28.9,33.5,18.7,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,459.0,,03_PRINT/production/P01_FRONT_FASCIA_s12c.stl
P01,FRONT_FASCIA,s13,231.1,255.6,162.2,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,458.1,,03_PRINT/production/P01_FRONT_FASCIA_s13.stl
P01,FRONT_FASCIA,s14,39.3,141.2,20.8,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,625.0,,03_PRINT/production/P01_FRONT_FASCIA_s14.stl
P28,FRONT_SPLITTER_L,s01,206.2,271.1,182.1,yes,1,yes,-180.0,-0.0,-0.0,0.0,-0.0,302.2,,03_PRINT/production/P28_FRONT_SPLITTER_L_s01.stl
P28,FRONT_SPLITTER_L,s02,281.3,252.8,173.7,yes,1,yes,-180.0,-0.0,-0.0,0.0,-0.0,301.4,,03_PRINT/production/P28_FRONT_SPLITTER_L_s02.stl
P41,FRONT_SPLITTER_R,s01,206.2,271.1,182.1,yes,1,yes,-180.0,-0.0,-0.0,0.0,-0.0,302.2,,03_PRINT/production/P41_FRONT_SPLITTER_R_s01.stl
P41,FRONT_SPLITTER_R,s02,281.3,252.8,173.7,yes,1,yes,-180.0,-0.0,-0.0,0.0,-0.0,301.4,,03_PRINT/production/P41_FRONT_SPLITTER_R_s02.stl
P07,ROCKER_L,s01,281.3,61.7,60.6,yes,1,yes,-180.0,-0.0,-0.0,0.0,-0.0,180.6,,03_PRINT/production/P07_ROCKER_L_s01.stl
P07,ROCKER_L,s02,267.1,192.8,164.0,yes,1,yes,-90.0,-0.0,-0.0,0.0,750.4,-0.0,,03_PRINT/production/P07_ROCKER_L_s02.stl
P07,ROCKER_L,s03,281.7,136.9,128.3,yes,1,yes,-90.0,-0.0,-0.0,0.0,644.1,-0.0,,03_PRINT/production/P07_ROCKER_L_s03.stl
P07,ROCKER_L,s04,281.8,180.5,138.7,yes,1,yes,-90.0,-0.0,-0.0,0.0,750.0,-0.0,,03_PRINT/production/P07_ROCKER_L_s04.stl
P07,ROCKER_L,s05,282.9,201.5,173.7,yes,1,yes,-90.0,-0.0,-0.0,0.0,600.6,-0.0,,03_PRINT/production/P07_ROCKER_L_s05.stl
P07,ROCKER_L,s06,282.2,113.9,92.7,yes,1,yes,-90.0,-0.0,-0.0,0.0,752.6,-0.0,,03_PRINT/production/P07_ROCKER_L_s06.stl
